# %ECSV 0.9
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_y, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# meta: !!omap
# - comment: [vej = 0.25999999999999995, mej = 0.023201562933498177, Ye = 0.45, redshift = 0.0]
# schema: astropy-2.0
time sdss_u sdss_g sdss_r sdss_i sdss_z PS1_y ukirt_J ukirt_H ukirt_K johnson_U johnson_B johnson_V johnson_R johnson_I
0.100000 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
0.150000 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
0.200000 -14.494269 -15.055863 -15.236163 -15.240002 -15.181511 -15.113921 -14.877150 -14.496783 -14.097288 -14.574812 -14.927332 -15.182156 -15.244858 -15.172418
0.250000 -14.543711 -15.160542 -15.374406 -15.398610 -15.352042 -15.291680 -15.068929 -14.700246 -14.308001 -14.630961 -15.016812 -15.306501 -15.387066 -15.344124
0.300000 -14.510313 -15.198977 -15.456631 -15.507465 -15.476504 -15.425609 -15.221220 -14.867828 -14.485058 -14.606273 -15.035454 -15.370579 -15.474473 -15.470126
0.350000 -14.453783 -15.205085 -15.501051 -15.575239 -15.557981 -15.515402 -15.327147 -14.987182 -14.612723 -14.557327 -15.024280 -15.399108 -15.523434 -15.552956
0.400000 -14.367112 -15.186568 -15.524349 -15.624085 -15.621837 -15.588372 -15.417804 -15.092553 -14.727192 -14.478897 -14.986938 -15.405048 -15.551696 -15.618294
0.450000 -14.274249 -15.155008 -15.530507 -15.653340 -15.664680 -15.639472 -15.484931 -15.173012 -14.815884 -14.393440 -14.938426 -15.395537 -15.562339 -15.662481
0.500000 -14.179163 -15.115105 -15.524641 -15.668359 -15.692001 -15.674272 -15.534256 -15.234416 -14.884744 -14.305014 -14.883251 -15.375521 -15.560526 -15.691018
0.550000 -14.057505 -15.058997 -15.509059 -15.677696 -15.716034 -15.707246 -15.584602 -15.299211 -14.958449 -14.191260 -14.808987 -15.343079 -15.549775 -15.716504
0.600000 -13.933906 -14.996989 -15.485218 -15.677374 -15.729602 -15.729271 -15.623068 -15.351352 -15.019017 -14.075081 -14.729905 -15.303348 -15.530492 -15.731447
0.650000 -13.809582 -14.930683 -15.454939 -15.669338 -15.734721 -15.742404 -15.651792 -15.393045 -15.068700 -13.957743 -14.647504 -15.258061 -15.504520 -15.737868
0.700000 -13.685368 -14.861245 -15.419575 -15.655050 -15.732913 -15.748205 -15.672403 -15.425981 -15.109224 -13.840120 -14.562862 -15.208495 -15.473236 -15.737296
0.750000 -13.561848 -14.789542 -15.380158 -15.635636 -15.725356 -15.747883 -15.686173 -15.451480 -15.141942 -13.722832 -14.476768 -15.155614 -15.437687 -15.730914
0.800000 -13.403483 -14.698600 -15.331296 -15.612890 -15.718113 -15.750106 -15.706846 -15.487518 -15.187434 -13.572572 -14.367093 -15.089194 -15.393874 -15.725208
0.850000 -13.280986 -14.623102 -15.285174 -15.585029 -15.701106 -15.739732 -15.709409 -15.500860 -15.207406 -13.455722 -14.278529 -15.030808 -15.351279 -15.709278
0.900000 -13.120721 -14.526749 -15.228821 -15.553581 -15.684477 -15.732166 -15.719534 -15.525732 -15.241347 -13.303133 -14.164403 -14.957748 -15.299734 -15.694120
0.950000 -12.958963 -14.427612 -15.168929 -15.518164 -15.663645 -15.720261 -15.725069 -15.545815 -15.270377 -13.148894 -14.047844 -14.881457 -15.244565 -15.674737
1.000000 -12.839360 -14.349152 -15.116282 -15.481638 -15.636734 -15.699240 -15.715563 -15.545921 -15.276393 -13.034229 -13.957934 -14.818020 -15.195027 -15.648781
1.050000 -12.677278 -14.246889 -15.051585 -15.440428 -15.609550 -15.680652 -15.713796 -15.558201 -15.297312 -12.879326 -13.839019 -14.737614 -15.134857 -15.622991
1.100000 -12.514349 -14.142757 -14.984414 -15.396399 -15.579357 -15.658946 -15.708711 -15.567009 -15.314662 -12.723450 -13.718515 -14.654980 -15.072145 -15.594174
1.150000 -12.350738 -14.036985 -14.915036 -15.349838 -15.546451 -15.634424 -15.700622 -15.572667 -15.328774 -12.566777 -13.596634 -14.570373 -15.007161 -15.562628
1.200000 -12.186589 -13.929776 -14.843684 -15.300993 -15.511093 -15.607352 -15.689805 -15.575459 -15.339937 -12.409456 -13.473563 -14.484011 -14.940142 -15.528612
1.250000 -12.022033 -13.821309 -14.770566 -15.250087 -15.473510 -15.577961 -15.676500 -15.575634 -15.348404 -12.251625 -13.349468 -14.396090 -14.871296 -15.492357
1.300000 -11.857186 -13.711744 -14.695864 -15.197316 -15.433907 -15.546461 -15.660923 -15.573413 -15.354401 -12.093405 -13.224497 -14.306786 -14.800812 -15.454066
1.350000 -11.692154 -13.601225 -14.619745 -15.142856 -15.392466 -15.513035 -15.643265 -15.568991 -15.358126 -11.934908 -13.098784 -14.216254 -14.728857 -15.413923
1.400000 -11.527037 -13.489885 -14.542358 -15.086868 -15.349350 -15.477852 -15.623698 -15.562544 -15.359758 -11.776236 -12.972453 -14.124639 -14.655582 -15.372092
1.450000 -11.361928 -13.377844 -14.463840 -15.029496 -15.304710 -15.441062 -15.602376 -15.554232 -15.359457 -11.617486 -12.845617 -14.032069 -14.581126 -15.328722
1.500000 -11.196913 -13.265215 -14.384317 -14.970872 -15.258680 -15.402803 -15.579440 -15.544196 -15.357370 -11.458749 -12.718382 -13.938667 -14.505616 -15.283950
1.550000 -10.969277 -13.114649 -14.282484 -14.899830 -15.206212 -15.361804 -15.561081 -15.544919 -15.369855 -11.240347 -12.546325 -13.816399 -14.409693 -15.233337
1.600000 -10.803075 -12.999947 -14.200359 -14.838307 -15.157127 -15.320406 -15.534872 -15.531527 -15.364368 -11.080315 -12.417260 -13.720611 -14.331522 -15.185496
1.650000 -10.637229 -12.884965 -14.117564 -14.775880 -15.107006 -15.277894 -15.507408 -15.516772 -15.357456 -10.920563 -12.288093 -13.624314 -14.252634 -15.136605
1.700000 -10.471814 -12.769792 -14.034193 -14.712645 -15.055945 -15.234366 -15.478787 -15.500755 -15.349219 -10.761167 -12.158907 -13.527601 -14.173124 -15.086763
