epoch,W2,M2,W1,U,B,g,V,r,o,i
0.000000,20.436603,21.078022,21.305330,22.084082,22.497933,22.648768,22.988330,23.247786,23.427932,23.663871
0.050505,17.278849,17.639031,17.824988,18.466233,18.831755,18.967782,19.276033,19.515500,19.684941,19.904574
0.101010,16.850299,17.112016,17.274783,17.840233,18.179264,18.307227,18.598644,18.827428,18.991133,19.202180
0.151515,16.651670,16.851936,16.995236,17.499176,17.816642,17.938056,18.215899,18.436090,18.595171,18.799371
0.202020,16.542440,16.697608,16.823283,17.273447,17.571951,17.687615,17.953608,18.166307,18.321347,18.519617
0.252525,16.480179,16.599240,16.708433,17.109947,17.391183,17.501613,17.756870,17.962789,18.114162,18.307095
0.303030,16.446468,16.535054,16.628563,16.985191,17.250376,17.355942,17.601264,17.800912,17.948887,18.136907
0.353535,16.431681,16.493643,16.572071,16.886753,17.136822,17.237809,17.473808,17.667573,17.812353,17.995784
0.404040,16.430171,16.468324,16.532151,16.807281,17.042984,17.139617,17.366784,17.554975,17.696720,17.875822
0.454545,16.438359,16.454866,16.504488,16.742075,16.964033,17.056498,17.275236,17.458108,17.596951,17.771936
0.505051,16.453845,16.450430,16.486186,16.687953,16.896692,16.985147,17.195797,17.373565,17.509616,17.680662
0.555556,16.474947,16.453032,16.475214,16.642667,16.838642,16.923221,17.126078,17.298925,17.432277,17.599540
0.606061,16.500447,16.461230,16.470100,16.604570,16.788179,16.869001,17.064321,17.232407,17.363144,17.526757
0.656566,16.529440,16.473950,16.469743,16.572423,16.744020,16.821191,17.009201,17.172667,17.300860,17.460941
0.707071,16.561235,16.490375,16.473302,16.545270,16.705174,16.778785,16.959689,17.118662,17.244374,17.401030
0.757576,16.595298,16.509866,16.480125,16.522362,16.670858,16.740996,16.914976,17.069569,17.192858,17.346182
0.808081,16.631206,16.531918,16.489690,16.503096,16.640449,16.707189,16.874412,17.024728,17.145645,17.295725
0.858586,16.668623,16.556128,16.501582,16.486987,16.613436,16.676849,16.837468,16.983601,17.102193,17.249106
0.909091,16.707278,16.582165,16.515460,16.473633,16.589401,16.649552,16.803708,16.945743,17.062053,17.205872
0.959596,16.746946,16.609760,16.531045,16.462702,16.567995,16.624944,16.772766,16.910784,17.024851,17.165642
1.010101,16.787447,16.638689,16.548105,16.453915,16.548926,16.602729,16.744338,16.878411,16.990272,17.128097
1.060606,16.828626,16.668762,16.566445,16.447035,16.531944,16.582652,16.718162,16.848360,16.958047,17.092965
1.111111,16.870357,16.699823,16.585900,16.441860,16.516836,16.564499,16.694015,16.820401,16.927948,17.060010
1.161616,16.912532,16.731737,16.606330,16.438217,16.503419,16.548083,16.671704,16.794339,16.899773,17.029032
1.212121,16.955061,16.764388,16.627614,16.435955,16.491534,16.533241,16.651062,16.770003,16.873352,16.999854
1.262626,16.997866,16.797678,16.649649,16.434943,16.481043,16.519834,16.631944,16.747243,16.848533,16.972323
1.313131,17.040881,16.831521,16.672345,16.435067,16.471822,16.507737,16.614219,16.725928,16.825183,16.946304
1.363636,17.084050,16.865844,16.695624,16.436225,16.463765,16.496841,16.597775,16.705942,16.803184,16.921676
1.414141,17.127323,16.900582,16.719418,16.438329,16.456777,16.487049,16.582511,16.687181,16.782433,16.898333
1.464646,17.170657,16.935677,16.743666,16.441300,16.450773,16.478274,16.568337,16.669553,16.762835,16.876181
1.515152,17.214018,16.971082,16.768317,16.445066,16.445677,16.470440,16.555173,16.652977,16.744308,16.855134
1.565657,17.257371,17.006750,16.793322,16.449564,16.441422,16.463477,16.542947,16.637378,16.726777,16.835116
1.616162,17.300690,17.042645,16.818641,16.454738,16.437945,16.457323,16.531593,16.622690,16.710175,16.816058
1.666667,17.343950,17.078732,16.844237,16.460536,16.435193,16.451921,16.521053,16.608851,16.694439,16.797897
1.717172,17.387131,17.114979,16.870076,16.466912,16.433115,16.447221,16.511273,16.595808,16.679515,16.780577
1.767677,17.430212,17.151360,16.896129,16.473825,16.431666,16.443176,16.502206,16.583511,16.665351,16.764046
1.818182,17.473179,17.187851,16.922370,16.481235,16.430805,16.439744,16.493806,16.571913,16.651903,16.748256
1.868687,17.516016,17.224430,16.948774,16.489109,16.430493,16.436886,16.486033,16.560973,16.639127,16.733166
1.919192,17.558712,17.261077,16.975320,16.497415,16.430696,16.434567,16.478850,16.550654,16.626984,16.718734
1.969697,17.601254,17.297775,17.001989,16.506124,16.431383,16.432755,16.472222,16.540919,16.615440,16.704924
2.020202,17.643633,17.334508,17.028763,16.515209,16.432524,16.431420,16.466120,16.531737,16.604461,16.691703
2.070707,17.685840,17.371261,17.055627,16.524646,16.434093,16.430533,16.460513,16.523077,16.594017,16.679040
2.121212,17.727868,17.408022,17.082565,16.534412,16.436065,16.430071,16.455374,16.514913,16.584080,16.666905
2.171717,17.769711,17.444780,17.109565,16.544486,16.438417,16.430009,16.450679,16.507217,16.574623,16.655273
2.222222,17.811361,17.481523,17.136614,16.554850,16.441127,16.430325,16.446406,16.499968,16.565624,16.644118
2.272727,17.852815,17.518242,17.163703,16.565486,16.444177,16.431000,16.442531,16.493142,16.557058,16.633418
2.323232,17.894067,17.554929,17.190820,16.576376,16.447548,16.432015,16.439037,16.486719,16.548906,16.623150
2.373737,17.935114,17.591576,17.217956,16.587507,16.451222,16.433351,16.435903,16.480679,16.541148,16.613295
2.424242,17.975951,17.628175,17.245105,16.598863,16.455184,16.434993,16.433113,16.475005,16.533765,16.603834
2.474747,18.016577,17.664720,17.272256,16.610431,16.459419,16.436926,16.430650,16.469681,16.526740,16.594749
2.525253,18.056988,17.701205,17.299405,16.622200,16.463914,16.439135,16.428499,16.464689,16.520059,16.586025
2.575758,18.097182,17.737624,17.326544,16.634157,16.468655,16.441606,16.426647,16.460016,16.513704,16.577645
2.626263,18.137156,17.773974,17.353667,16.646292,16.473630,16.444329,16.425079,16.455648,16.507663,16.569594
2.676768,18.176910,17.810248,17.380769,16.658595,16.478828,16.447289,16.423783,16.451571,16.501922,16.561861
2.727273,18.216442,17.846444,17.407845,16.671056,16.484239,16.450478,16.422748,16.447773,16.496469,16.554431
2.777778,18.255750,17.882558,17.434890,16.683667,16.489851,16.453883,16.421962,16.444244,16.491291,16.547292
2.828283,18.294834,17.918585,17.461900,16.696420,16.495656,16.457496,16.421414,16.440971,16.486378,16.540433
2.878788,18.333692,17.954523,17.488871,16.709305,16.501645,16.461307,16.421095,16.437944,16.481720,16.533843
2.929293,18.372323,17.990369,17.515800,16.722317,16.507809,16.465308,16.420996,16.435155,16.477306,16.527512
2.979798,18.410728,18.026120,17.542684,16.735449,16.514140,16.469490,16.421107,16.432593,16.473126,16.521430
3.030303,18.448906,18.061774,17.569518,16.748693,16.520632,16.473845,16.421421,16.430250,16.469173,16.515588
3.080808,18.486856,18.097329,17.596300,16.762044,16.527276,16.478367,16.421929,16.428118,16.465437,16.509977
3.131313,18.524577,18.132783,17.623029,16.775495,16.534067,16.483048,16.422624,16.426188,16.461912,16.504589
3.181818,18.562071,18.168133,17.649700,16.789043,16.540997,16.487882,16.423498,16.424454,16.458588,16.499416
3.232323,18.599336,18.203379,17.676313,16.802681,16.548061,16.492862,16.424545,16.422908,16.455459,16.494451
3.282828,18.636373,18.238518,17.702864,16.816404,16.555254,16.497982,16.425759,16.421544,16.452517,16.489687
3.333333,18.673181,18.273549,17.729352,16.830208,16.562569,16.503237,16.427133,16.420355,16.449758,16.485116
3.383838,18.709761,18.308472,17.755776,16.844089,16.570001,16.508622,16.428662,16.419335,16.447173,16.480732
3.434343,18.746113,18.343283,17.782133,16.858042,16.577546,16.514131,16.430339,16.418478,16.444758,16.476530
3.484848,18.782237,18.377984,17.808423,16.872064,16.585199,16.519760,16.432160,16.417779,16.442506,16.472503
3.535354,18.818132,18.412571,17.834643,16.886150,16.592956,16.525503,16.434120,16.417232,16.440413,16.468645
3.585859,18.853800,18.447045,17.860792,16.900298,16.600812,16.531357,16.436214,16.416832,16.438472,16.464952
3.636364,18.889240,18.481405,17.886870,16.914504,16.608764,16.537318,16.438437,16.416575,16.436680,16.461418
3.686869,18.924453,18.515650,17.912874,16.928765,16.616807,16.543380,16.440784,16.416456,16.435031,16.458038
3.737374,18.959439,18.549778,17.938805,16.943077,16.624938,16.549541,16.443253,16.416471,16.433520,16.454808
3.787879,18.994198,18.583790,17.964661,16.957439,16.633153,16.555797,16.445838,16.416614,16.432145,16.451722
3.838384,19.028730,18.617685,17.990441,16.971846,16.641450,16.562145,16.448535,16.416883,16.430899,16.448778
3.888889,19.063036,18.651462,18.016144,16.986297,16.649824,16.568580,16.451342,16.417273,16.429780,16.445970
3.939394,19.097115,18.685120,18.041770,17.000789,16.658273,16.575100,16.454254,16.417781,16.428784,16.443295
3.989899,19.130969,18.718660,18.067318,17.015320,16.666794,16.581702,16.457269,16.418403,16.427907,16.440748
4.040404,19.164598,18.752079,18.092787,17.029887,16.675384,16.588382,16.460382,16.419135,16.427145,16.438327
4.090909,19.198001,18.785379,18.118177,17.044489,16.684041,16.595139,16.463591,16.419975,16.426495,16.436028
4.141414,19.231180,18.818559,18.143488,17.059123,16.692761,16.601969,16.466893,16.420919,16.425954,16.433846
4.191919,19.264134,18.851618,18.168718,17.073787,16.701543,16.608869,16.470285,16.421964,16.425519,16.431780
4.242424,19.296863,18.884555,18.193867,17.088480,16.710385,16.615838,16.473764,16.423107,16.425186,16.429826
4.292929,19.329368,18.917371,18.218935,17.103199,16.719283,16.622873,16.477328,16.424346,16.424954,16.427980
4.343434,19.361650,18.950065,18.243921,17.117943,16.728235,16.629971,16.480973,16.425677,16.424818,16.426241
4.393939,19.393708,18.982637,18.268826,17.132711,16.737241,16.637131,16.484698,16.427098,16.424777,16.424605
4.444444,19.425543,19.015086,18.293648,17.147500,16.746297,16.644350,16.488500,16.428607,16.424828,16.423069
4.494949,19.457154,19.047412,18.318388,17.162310,16.755402,16.651626,16.492377,16.430201,16.424968,16.421631
4.545455,19.488543,19.079615,18.343045,17.177139,16.764554,16.658957,16.496327,16.431878,16.425195,16.420289
4.595960,19.519709,19.111694,18.367619,17.191985,16.773751,16.666342,16.500347,16.433635,16.425506,16.419039
4.646465,19.550653,19.143649,18.392110,17.206847,16.782991,16.673779,16.504436,16.435471,16.425900,16.417880
4.696970,19.581375,19.175480,18.416517,17.221724,16.792273,16.681265,16.508592,16.437383,16.426375,16.416810
4.747475,19.611876,19.207187,18.440841,17.236615,16.801595,16.688800,16.512812,16.439370,16.426927,16.415825
4.797980,19.642154,19.238769,18.465081,17.251519,16.810957,16.696381,16.517095,16.441428,16.427556,16.414925
4.848485,19.672211,19.270225,18.489237,17.266434,16.820355,16.704008,16.521439,16.443558,16.428259,16.414107
4.898990,19.702047,19.301556,18.513308,17.281359,16.829789,16.711678,16.525842,16.445755,16.429034,16.413369
4.949495,19.731662,19.332761,18.537296,17.296294,16.839258,16.719390,16.530303,16.448020,16.429880,16.412709
5.000000,19.761056,19.363840,18.561199,17.311238,16.848760,16.727142,16.534820,16.450350,16.430795,16.412126
